feature,stage,mean_abs_shap_global,mean_abs_shap_conditional,n_present,pct_present
adas_cog_13,1,1.0699278116226196,1.2036116123199463,2832,77.9
mmse,1,0.9742196798324585,0.9742196798324585,3636,100.0
tau_meta_temporal,4,0.2323717325925827,0.6080104112625122,716,19.7
centiloids,4,0.2492038607597351,0.43265512585639954,1065,29.3
ptau217,2,0.07351613789796829,0.15793739259243011,1122,30.9
hippocampal_icv_ratio,3,0.07563954591751099,0.11522968113422394,2120,58.3
nfl,2,0.03256945312023163,0.1130087822675705,614,16.9
hippocampal_volume,3,0.07435678690671921,0.10261797904968262,2120,58.3
sex,1,0.08902502804994583,0.08905334770679474,3634,99.9
age,1,0.08338824659585953,0.0833851546049118,3633,99.9
mmse_change,1,0.06419084221124649,0.0769239291548729,2335,64.2
abeta4240,2,0.03192936256527901,0.04974770173430443,1119,30.8
gfap,2,0.012062227353453636,0.046576954424381256,614,16.9
education_years,1,0.01501164585351944,0.015017223544418812,3632,99.9
apoe_e4,1,0.01703515648841858,0.01414878573268652,2861,78.7
