feature,stage,mean_abs_shap_global,mean_abs_shap_conditional,pct_present,n_measured,share_pct
centiloids,4,0.75742316,1.1855954,58.56793145654835,957,16.383059
tau_meta_temporal,4,0.40502837,1.1677318,25.091799265605875,410,16.136211
adas_cog_13,1,1.0719762,1.0699863,98.71481028151776,1613,14.785524
hippocampal_icv_ratio,3,0.98615694,0.9728937,97.55201958384333,1594,13.443856
hippocampal_volume,3,0.5547303,0.54885364,97.55201958384333,1594,7.584292
abeta4240,2,0.1593543,0.38038287,27.41738066095471,448,5.2562914
nfl,2,0.19103509,0.3797844,27.47858017135863,449,5.2480216
age,1,0.3111843,0.31118435,100.0,1634,4.300077
apoe_e4,1,0.29139262,0.29187545,99.87760097919217,1632,4.0332584
ptau217,2,0.13507554,0.2483277,27.539779681762543,450,3.431497
sex,1,0.23190176,0.23190172,100.0,1634,3.2045162
mmse,1,0.1782512,0.17825124,100.0,1634,2.463151
education_years,1,0.16749462,0.16749462,100.0,1634,2.3145115
gfap,2,0.06567999,0.10245235,27.47858017135863,449,1.41573
